City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Scarborough,GB,54.2797,-0.4044,54.34,75,35,4.0,scattered clouds
111,Lorengau,PG,-2.0226,147.2712,80.01,80,100,1.59,overcast clouds
112,Constantine,DZ,36.365,6.6147,62.01,82,75,4.61,broken clouds
113,Barrow,US,71.2906,-156.7887,33.82,86,20,14.97,few clouds
114,Varzea Grande,BR,-15.6467,-56.1325,87.67,42,20,4.61,few clouds
115,Kodiak,US,57.79,-152.4072,49.51,76,40,8.05,scattered clouds
116,Iqaluit,CA,63.7506,-68.5145,17.33,72,75,27.63,broken clouds
117,Grindavik,IS,63.8424,-22.4338,46.87,81,75,6.91,broken clouds
118,Talnakh,RU,69.4865,88.3972,29.21,91,91,3.71,overcast clouds
119,San Quintin,MX,30.4833,-115.95,68.43,59,0,9.22,clear sky
120,Eastbourne,GB,50.7687,0.2845,57.72,87,16,5.01,few clouds
121,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,77,20,7.4,few clouds
122,Batagay,RU,67.6333,134.6333,34.61,79,100,10.42,light snow
123,Codrington,AU,-38.2667,141.9667,56.91,87,99,10.87,overcast clouds
124,Kloulklubed,PW,7.0419,134.2556,72.1,86,100,9.4,overcast clouds
125,Sabla,NG,12.7525,4.7077,94.23,25,2,6.91,clear sky
126,Miramar,US,25.9873,-80.2323,88.02,67,75,18.41,broken clouds
127,Takoradi,GH,4.8845,-1.7554,78.87,82,100,6.17,light rain
128,Avarua,CK,-21.2078,-159.775,82.45,74,9,5.75,clear sky
129,Shimoda,JP,34.6667,138.95,66.58,86,92,4.56,overcast clouds
130,Fuxin,CN,42.0156,121.6589,57.94,55,99,5.17,overcast clouds
131,Viedma,AR,-40.8135,-62.9967,44.49,54,1,7.52,clear sky
132,Gornopravdinsk,RU,60.05,69.9,62.24,80,100,9.08,overcast clouds
133,Rundu,NA,-17.9333,19.7667,55.63,37,0,3.8,clear sky
134,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,45,20,3.44,few clouds
135,Valleyview,CA,55.0667,-117.2859,60.84,41,100,5.75,overcast clouds
136,Burnie,AU,-41.0667,145.9167,56.95,89,100,10.67,overcast clouds
137,Leningradskiy,RU,69.3833,178.4167,47.62,62,100,5.79,overcast clouds
138,Cidreira,BR,-30.1811,-50.2056,66.25,85,8,8.93,clear sky
139,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,75,14.97,broken clouds
140,Chokurdakh,RU,70.6333,147.9167,30.13,83,91,9.33,overcast clouds
141,Araouane,ML,18.9048,-3.5265,86.61,37,92,11.88,overcast clouds
142,Callaguip,PH,18.0714,120.4867,77.02,100,40,3.44,scattered clouds
143,Lebanon,US,36.2081,-86.2911,77.45,79,100,16.26,overcast clouds
144,Kamenka,RU,51.3223,42.7678,44.85,64,100,3.11,overcast clouds
145,Blackwater,AU,-23.5833,148.8833,60.66,88,6,3.29,clear sky
146,Urucui,BR,-7.2294,-44.5561,83.03,51,57,10.8,broken clouds
147,Darnah,LY,32.767,22.6367,72.1,48,0,3.47,clear sky
148,Inyonga,TZ,-6.7167,32.0667,66.58,64,79,0.65,broken clouds
149,Carnarvon,AU,-24.8667,113.6333,71.11,63,100,7.34,overcast clouds
150,Caceres,ES,39.522,-6.3748,62.69,37,9,4.38,clear sky
151,Constitucion,CL,-35.3333,-72.4167,55.27,65,24,12.57,few clouds
152,Corlu,TR,41.1592,27.8,60.78,63,0,5.75,clear sky
153,Aklavik,CA,68.2191,-135.0107,46.2,59,72,1.25,broken clouds
154,Aitape,PG,-3.1374,142.3475,78.13,86,100,1.74,overcast clouds
155,Shelburne,CA,44.0787,-80.2041,65.23,47,100,9.48,overcast clouds
156,Olga,RU,43.7444,135.2892,49.32,91,100,7.96,light rain
157,Saldanha,ZA,-33.0117,17.9442,60.85,89,0,5.03,clear sky
158,Lukulu,ZM,-14.3707,23.242,56.32,40,0,2.71,clear sky
159,Nieuwpoort,BE,51.1244,2.7735,58.23,88,100,11.5,overcast clouds
160,Atuona,PF,-9.8,-139.0333,78.46,76,20,18.63,few clouds
161,Lompoc,US,34.6391,-120.4579,75.09,61,0,11.5,clear sky
162,Teahupoo,PF,-17.8333,-149.2667,76.96,74,45,10.09,scattered clouds
163,Payo,ID,-3.7508,103.6372,71.1,97,100,2.59,overcast clouds
164,Manbij,SY,36.5281,37.9549,71.2,38,5,10.18,clear sky
165,Gap,FR,44.6667,6.0,43.83,81,58,6.22,broken clouds
166,Oranjemund,NA,-28.55,16.4333,54.91,93,4,3.83,clear sky
167,Beringovskiy,RU,63.05,179.3167,44.56,66,77,5.37,broken clouds
168,Zhezkazgan,KZ,47.8043,67.7144,71.78,28,0,10.38,clear sky
169,Deputatskiy,RU,69.3,139.9,26.85,89,99,6.13,overcast clouds
170,Ahar,IR,38.4774,47.0699,48.04,82,98,6.78,overcast clouds
171,Acapulco,MX,16.8634,-99.8901,85.82,70,100,5.75,overcast clouds
172,Batagay-Alyta,RU,67.8006,130.4114,26.64,83,98,10.92,overcast clouds
173,Konstantinovsk,RU,47.5828,41.0922,54.82,76,63,5.3,broken clouds
174,Kulhudhuffushi,MV,6.6221,73.07,82.02,78,100,11.5,overcast clouds
175,Mattru,SL,7.6244,-11.8332,72.46,99,100,4.79,moderate rain
176,Butaritari,KI,3.0707,172.7902,81.61,75,100,18.43,overcast clouds
177,Lima,PE,-12.0432,-77.0282,61.39,40,100,6.91,overcast clouds
178,Oksfjord,NO,70.2396,22.3479,55.58,56,9,10.92,clear sky
179,Sibu,MY,2.3,111.8167,73.71,100,40,5.75,scattered clouds
180,Nishihara,JP,26.1842,127.7558,74.68,100,100,10.36,light rain
181,Mragowo,PL,53.8644,21.3051,51.8,95,91,4.59,overcast clouds
182,Geraldton,AU,-28.7667,114.6,61.21,77,100,10.36,overcast clouds
183,Trebinje,BA,42.7119,18.3442,70.16,43,0,11.5,clear sky
184,Dikson,RU,73.5069,80.5464,17.69,95,70,3.91,broken clouds
185,Durazno,UY,-33.4131,-56.5006,49.71,92,100,22.37,overcast clouds
186,Leh,IN,34.1667,77.5833,48.94,51,88,3.2,overcast clouds
187,Tumut,AU,-35.3,148.2167,52.81,79,100,1.45,light rain
188,Haines Junction,CA,60.7522,-137.5108,57.15,35,97,8.05,overcast clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,85.6,66,8,11.56,clear sky
190,New Norfolk,AU,-42.7826,147.0587,45.91,88,32,2.95,scattered clouds
191,Tete,MZ,-16.1564,33.5867,64.49,82,20,1.14,few clouds
192,Khani,GE,41.9563,42.9566,42.37,91,13,5.26,few clouds
193,Norman Wells,CA,65.282,-126.8329,59.04,44,75,9.22,broken clouds
194,Uhlirske Janovice,CZ,49.8802,15.0648,56.79,79,5,7.36,clear sky
195,Zelenoborskiy,RU,66.845,32.3622,39.97,79,93,4.76,overcast clouds
196,Lardos,GR,36.0942,28.0157,71.94,61,1,8.16,clear sky
197,Sumbe,AO,-11.2061,13.8437,71.1,86,3,4.0,clear sky
198,Kavieng,PG,-2.5744,150.7967,81.1,75,100,7.87,overcast clouds
199,Souillac,MU,-20.5167,57.5167,68.38,94,40,3.44,scattered clouds
200,Adrar,MR,20.5022,-10.0711,92.01,11,4,7.45,clear sky
201,Manavalakurichi,IN,8.1333,77.3,79.5,89,13,10.76,few clouds
202,Sao Filipe,CV,14.8961,-24.4956,71.78,77,0,11.45,clear sky
203,Banda Aceh,ID,5.5577,95.3222,79.97,77,96,6.11,overcast clouds
204,Coahuayana,MX,18.7333,-103.6833,87.67,51,100,7.65,overcast clouds
205,Peskovka,RU,59.0448,52.3606,42.49,90,100,2.98,overcast clouds
206,Lavumisa,SZ,-27.31,31.892,62.65,76,0,3.38,clear sky
207,Joshimath,IN,30.5667,79.5667,58.15,56,7,4.0,clear sky
208,Fairbanks,US,64.8378,-147.7164,65.48,39,75,13.8,broken clouds
209,Badajoz,ES,38.6667,-6.1667,65.64,27,72,5.3,broken clouds
210,Nyuksenitsa,RU,60.4128,44.2397,37.33,99,100,2.73,overcast clouds
211,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,10.36,few clouds
212,Hofn,IS,64.2539,-15.2082,43.7,85,97,3.44,overcast clouds
213,Beihai,CN,21.4833,109.1,79.81,89,100,7.27,overcast clouds
214,Port Said,EG,31.2565,32.2841,71.58,94,0,8.05,clear sky
215,Alice Springs,AU,-23.7,133.8833,49.55,81,6,5.75,clear sky
216,Rio Gallegos,AR,-51.6226,-69.2181,42.85,70,0,19.57,clear sky
217,Coquimbo,CL,-29.9533,-71.3436,58.73,88,20,12.66,few clouds
218,Tiksi,RU,71.6872,128.8694,22.03,91,100,8.12,overcast clouds
219,Severo-Kurilsk,RU,50.6789,156.125,40.03,96,100,7.7,light rain
220,Khatanga,RU,71.9667,102.5,27.82,88,59,5.26,broken clouds
221,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,75,19.57,broken clouds
222,Shambu,ET,9.5667,37.1,53.49,87,89,3.67,light rain
223,Saskylakh,RU,71.9167,114.0833,16.25,97,79,2.8,broken clouds
224,Umuarama,BR,-23.7664,-53.325,68.67,69,0,5.82,clear sky
225,Barguzin,RU,53.6167,109.6167,52.61,48,1,1.61,clear sky
226,Mantua,IT,45.1667,10.7833,74.35,76,4,1.99,clear sky
227,Hobyo,SO,5.3505,48.5268,79.23,82,86,26.71,overcast clouds
228,Rock Sound,BS,24.9,-76.2,78.71,73,49,16.31,scattered clouds
229,Valparaiso,CL,-33.0393,-71.6273,68.23,70,0,11.5,clear sky
230,Katsina,NG,12.9894,7.6006,87.8,8,3,6.15,clear sky
231,Monitos,CO,8.25,-76.05,81.91,84,100,5.3,overcast clouds
232,Shache,CN,38.4167,77.2406,73.0,24,13,4.27,few clouds
233,Marrakesh,MA,31.6315,-8.0083,78.87,34,0,11.5,clear sky
234,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,69,68,4.74,broken clouds
235,Sovetskiy,RU,61.3614,63.5842,59.94,75,93,9.08,light rain
236,Bulgan,MN,48.8125,103.5347,53.94,42,49,2.84,scattered clouds
237,Manono,CD,-7.3,27.4167,71.01,81,79,2.82,broken clouds
238,Ambahta,IN,29.85,77.3333,80.71,37,0,3.67,clear sky
239,Beyneu,KZ,45.3167,55.2,62.04,46,100,14.92,overcast clouds
240,Novyy Urengoy,RU,66.0833,76.6333,40.06,72,11,7.49,few clouds
241,Victoria,HK,22.2855,114.1577,79.32,94,49,5.99,scattered clouds
242,Mount Gambier,AU,-37.8333,140.7667,55.31,100,100,10.36,overcast clouds
243,Gravdal,NO,68.1214,13.5031,48.09,93,75,8.05,light rain
244,Henties Bay,NA,-22.116,14.2845,59.07,82,0,7.94,clear sky
245,Kungurtug,RU,50.5994,97.5228,57.51,56,87,2.39,overcast clouds
246,Kharitonovo,RU,61.4009,47.4978,40.71,96,93,0.31,light rain
247,Itauna,BR,-20.0753,-44.5764,63.05,63,20,10.0,few clouds
248,Black River,JM,18.0264,-77.8487,86.16,61,54,19.89,broken clouds
249,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,20,18.41,few clouds
250,Camacha,PT,33.0833,-16.3333,62.02,72,75,8.05,broken clouds
251,Port Hardy,CA,50.6996,-127.4199,59.18,58,75,14.97,broken clouds
252,Strelka,RU,58.0728,93.0344,49.35,86,0,4.72,clear sky
253,Shumyachi,RU,53.8583,32.4242,54.48,75,98,6.38,overcast clouds
254,Bambanglipuro,ID,-7.95,110.2833,76.84,88,100,3.91,overcast clouds
255,Ostrovnoy,RU,68.0531,39.5131,33.22,96,10,4.09,clear sky
256,Karpathos,GR,35.507,27.2132,69.76,73,0,4.61,clear sky
257,Necochea,AR,-38.5473,-58.7368,48.58,57,31,12.55,scattered clouds
258,Kaitangata,NZ,-46.2817,169.8464,39.47,83,92,7.72,overcast clouds
259,Cortona,IT,43.2745,11.9871,64.76,76,19,2.66,few clouds
260,Bashmakovo,RU,53.2133,43.0342,40.26,76,95,4.45,overcast clouds
261,Turukhansk,RU,65.8167,87.9833,39.56,82,71,8.68,broken clouds
262,Dauphin,CA,51.1494,-100.0502,73.54,27,75,20.71,broken clouds
263,Kavaratti,IN,10.5669,72.642,83.17,78,54,11.92,broken clouds
264,Tual,ID,-5.6667,132.75,80.71,80,98,6.13,overcast clouds
265,Egvekinot,RU,66.3167,-179.1667,39.6,77,93,7.25,overcast clouds
266,Laguna,US,38.421,-121.4238,102.29,20,0,9.22,clear sky
267,Alofi,NU,-19.0595,-169.9187,80.49,78,75,11.5,broken clouds
268,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
269,Taoudenni,ML,22.6783,-3.9836,98.64,8,100,3.11,overcast clouds
270,Padang,ID,-0.9492,100.3543,76.93,71,100,4.43,overcast clouds
271,Isangel,VU,-19.55,169.2667,78.91,83,20,4.61,few clouds
272,Channel-Port Aux Basques,CA,47.5702,-59.1367,46.98,72,0,8.86,clear sky
273,Buraydah,SA,26.326,43.975,88.25,16,19,16.62,few clouds
274,Datong,CN,40.0936,113.2914,56.84,25,4,4.05,clear sky
275,East London,ZA,-33.0153,27.9116,63.97,71,5,15.93,clear sky
276,Usogorsk,RU,63.4106,48.6872,46.02,97,100,4.38,light rain
277,Torit,SS,4.4133,32.5678,70.92,79,100,2.3,overcast clouds
278,Vila Velha,BR,-20.3297,-40.2925,74.95,79,0,0.0,clear sky
279,Barra Da Estiva,BR,-13.6261,-41.3269,64.74,79,89,9.13,overcast clouds
280,Zhigansk,RU,66.7697,123.3711,31.96,82,38,22.82,scattered clouds
281,Torbay,CA,47.6666,-52.7314,43.88,56,20,9.22,few clouds
282,Virginia Beach,US,36.8529,-75.978,62.65,93,100,16.11,mist
283,Tomatlan,MX,19.9333,-105.25,90.12,42,0,13.58,clear sky
284,Batemans Bay,AU,-35.7167,150.1833,54.1,84,100,3.67,overcast clouds
285,Catamarca,AR,-28.4696,-65.7852,65.77,53,99,4.0,overcast clouds
286,Qeshm,IR,26.9581,56.2719,84.09,72,0,5.5,clear sky
287,Dudinka,RU,69.4058,86.1778,29.62,91,85,11.1,overcast clouds
288,Kahului,US,20.8947,-156.47,80.62,64,40,18.41,scattered clouds
289,Braco Do Norte,BR,-28.275,-49.1656,68.52,76,0,3.71,clear sky
290,Gambela,ET,8.25,34.5833,72.95,85,86,2.48,overcast clouds
291,Sobolevo,RU,54.4299,31.8996,52.56,80,99,5.79,overcast clouds
292,Arrifes,PT,37.7667,-25.7,61.05,63,75,8.05,broken clouds
293,Ust-Ilimsk,RU,58.0006,102.6619,52.72,93,97,9.4,light rain
294,Vestmanna,FO,62.1564,-7.1664,45.52,81,40,9.22,light rain
295,Potosi,BO,-19.5836,-65.7531,53.37,13,49,3.2,scattered clouds
296,Port Hedland,AU,-20.3167,118.5667,69.85,88,75,6.91,broken clouds
297,Naze,JP,28.3667,129.4833,67.12,90,100,8.63,overcast clouds
298,Margate,GB,51.3813,1.3862,56.7,84,22,3.0,few clouds
299,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,3.44,scattered clouds
300,Nogliki,RU,51.8333,143.1667,43.7,80,2,11.48,clear sky
301,Villa Juarez,MX,24.6536,-107.5411,94.71,48,0,5.75,clear sky
302,Nikolskoye,RU,59.7035,30.7861,46.29,69,77,4.79,broken clouds
303,San Patricio,US,28.017,-97.5169,87.69,68,99,12.66,overcast clouds
304,Khandyga,RU,62.6667,135.6,37.27,76,92,2.33,overcast clouds
305,Ola,RU,59.5833,151.2833,39.15,98,100,10.47,light rain
306,Ongandjera,NA,-17.8833,15.0667,64.99,26,0,6.98,clear sky
307,Nabire,ID,-3.3667,135.4833,75.97,92,100,3.24,overcast clouds
308,Aasiaat,GL,68.7098,-52.8699,33.3,71,99,14.36,overcast clouds
309,Jiwani,PK,25.05,61.7417,83.7,87,0,4.88,clear sky
310,Conde,BR,-7.2597,-34.9075,74.66,94,0,8.05,clear sky
311,Kiruna,SE,67.8557,20.2251,54.52,50,100,5.75,overcast clouds
312,Dunedin,NZ,-45.8742,170.5036,44.8,60,64,4.0,broken clouds
313,Chivilcoy,AR,-34.8957,-60.0167,51.31,63,100,7.49,overcast clouds
314,Seymchan,RU,62.8833,152.4333,46.11,72,100,4.79,overcast clouds
315,La Rioja,ES,42.25,-2.5,49.78,98,64,5.01,broken clouds
316,Casablanca,MA,33.5928,-7.6192,66.42,72,44,8.63,scattered clouds
317,Sao Desiderio,BR,-12.3633,-44.9733,76.8,42,13,4.72,few clouds
318,Domoni,KM,-12.2569,44.5319,77.9,79,5,7.76,clear sky
319,Namibe,AO,-15.1961,12.1522,67.28,74,0,6.93,clear sky
320,Digby,CA,44.6169,-65.7655,63.55,61,9,10.89,clear sky
321,Provideniya,RU,64.3833,-173.3,33.91,93,100,4.47,mist
322,Richards Bay,ZA,-28.783,32.0377,64.98,80,0,4.7,clear sky
323,Lubango,AO,-14.9172,13.4925,55.8,29,2,4.63,clear sky
324,Kuryk,KZ,43.2,51.65,59.9,55,96,8.77,overcast clouds
325,Santa Fe,AR,-31.6333,-60.7,53.02,88,100,15.01,light rain
326,Ixtapa,MX,20.7,-105.2,83.43,61,0,14.97,clear sky
327,Samana,DO,19.2056,-69.3369,86.22,74,40,11.5,scattered clouds
328,Kununurra,AU,-15.7667,128.7333,66.18,82,74,0.0,broken clouds
329,Nautla,MX,20.2167,-96.7833,88.9,60,74,12.3,broken clouds
330,Thinadhoo,MV,0.5333,72.9333,82.81,71,78,4.63,broken clouds
331,Te Anau,NZ,-45.4167,167.7167,35.94,91,14,1.77,few clouds
332,Kysyl-Syr,RU,63.8986,122.7617,38.26,76,100,9.98,overcast clouds
333,Sibolga,ID,1.7427,98.7792,76.57,82,100,3.67,overcast clouds
334,Lanja,IN,16.85,73.55,78.49,83,90,2.15,overcast clouds
335,Bereda,ES,43.2686,-7.5406,55.42,97,13,4.29,few clouds
336,Nanortalik,GL,60.1432,-45.2371,34.39,77,7,15.66,clear sky
337,Talavera,PH,15.6167,120.9333,76.84,87,100,2.44,overcast clouds
338,Halifax,CA,44.6453,-63.5724,64.29,44,75,17.27,broken clouds
339,Mareeba,AU,-17.0,145.4333,65.12,98,21,2.19,few clouds
340,Belmonte,BR,-15.8631,-38.8828,73.58,81,5,12.46,clear sky
341,Itarema,BR,-2.9248,-39.9167,77.36,87,14,8.61,few clouds
342,Agua Branca,BR,-5.8922,-42.6361,76.91,69,68,6.29,broken clouds
343,Maldonado,UY,-34.6667,-54.9167,52.99,89,100,17.27,overcast clouds
344,Juneau,US,58.3019,-134.4197,55.4,80,75,13.8,broken clouds
345,Mutoko,ZW,-17.397,32.2268,58.39,53,0,2.82,clear sky
346,Rovaniemi,FI,66.5,25.7167,58.41,33,0,8.05,clear sky
347,Westport,US,41.1415,-73.3579,72.95,64,0,12.66,clear sky
